,BTC,long,short,mix,short_if_neg_day,mix2
2022-04-26,3.016313046681414,2.327218560113934,0.7046426645868925,2.608719201634944,1.608100442969906,3.2920788258958775
2022-04-27,3.0423643616874503,2.333939930446547,0.701815871166772,2.6143098545995085,1.607601064403633,3.2985005690887266
2022-04-28,3.047218200047719,2.3190812351743673,0.7017099341360219,2.599408784515029,1.607601064403633,3.283641873816547
2022-04-29,3.025043066450537,2.3175612814580897,0.6924980412025744,2.5942040736253724,1.5983891714701854,3.276594784340201
2022-04-30,3.0091354682978912,2.319029918591091,0.7129149537970565,2.6038394757961667,1.6188060840646674,3.2903135690298915
2022-05-01,3.025766542200457,2.319583854627757,0.6997088845537834,2.5991109841355233,1.6188060840646674,3.2908675050665575
2022-05-02,3.0218238528922865,2.3425084158682075,0.6986283795617966,2.6216033433791788,1.6177255790726806,3.3131437633118157
2022-05-03,3.008636197022066,2.346893161067918,0.6900547525617845,2.6225586377788845,1.6091519520726685,3.312384332311519
2022-05-04,3.0312041608203044,2.3619465261210735,0.6883257843069707,2.6369204155301142,1.6091519520726685,3.327437697364674
2022-05-05,2.9489580156482154,2.3698108701493634,0.672162851109671,2.638319586279484,1.5929890188753688,3.3256042814745843
2022-05-06,2.931142388832103,2.374576505336903,0.6710081650350803,2.6426233470371874,1.591834332800778,3.3296771050173692
2022-05-07,2.893948659987592,2.3518994748916353,0.6860388547501571,2.6259585924779505,1.5982678216492587,3.31086016788119
2022-05-08,2.8673513896097553,2.3516017094858546,0.7018020666270879,2.631966111822942,1.6140310335261896,3.320020329601568
2022-05-09,2.7803333355832405,2.353019197456202,0.6942909018149525,2.630379133868435,1.6065198687140543,3.316931118684634
2022-05-10,2.79871953385982,2.3193877540584658,0.6646315141130698,2.584883935389946,1.6065198687140543,3.283299675286898
2022-05-11,2.70899946444998,2.274559643332948,0.6672654296292911,2.5411093908709166,1.6091537842302757,3.240051913871113
2022-05-12,2.7856163238272633,2.2579126258742264,0.5875426819471884,2.492573274339354,1.6091537842302757,3.2234048964123914
2022-05-13,2.7525042932372603,2.280340892148679,0.5912839080632891,2.516498031060247,1.6128950103463764,3.2480778983565046
2022-05-14,2.7576368791210766,2.2800180321938277,0.5902993629982646,2.5157813530793858,1.6153947120294476,3.249254859411496
2022-05-15,2.777877000298696,2.317604578084148,0.608816608966165,2.560774797356866,1.6153947120294476,3.286841405301816
2022-05-16,2.7792079930722235,2.327070201828116,0.6121646741905264,2.5715796471905787,1.618742777253809,3.298315868180401
2022-05-17,2.7616807507402075,2.3578824938363967,0.6152659288612234,2.6036324410671385,1.621844031924506,3.3309889129910997
2022-05-18,2.7404068581304073,2.3550183071285233,0.6366534025236491,2.6093232438242353,1.6432315055869315,3.3409572104806817
2022-05-19,2.773912961716523,2.3504187698312573,0.6197512473064147,2.5979628444400755,1.6432315055869315,3.3363576731834157
2022-05-20,2.7435279150024168,2.3683988936515714,0.6230807874905734,2.617274784334053,1.6465610457710902,3.356335521114225
2022-05-21,2.7471279350993676,2.3646255481895144,0.6224682923527621,2.6132564408168717,1.6465610457710902,3.352562175652168
2022-05-22,2.7746389606923656,2.3767434547491337,0.6305856982764909,2.6286213097459825,1.6465610457710902,3.3646800822117875
2022-05-23,2.7457568965334227,2.344886721883259,0.6267642478340684,2.595235996703139,1.6427395953286676,3.3305304790804593
2022-05-24,2.7764115982031554,2.3532764433473052,0.6159708486392609,2.599308358489262,1.6391778408882869,3.336783147880277
2022-05-25,2.764459517790123,2.3495298230026114,0.616017457926151,2.595580381859324,1.6392244501751772,3.333064493107717
2022-05-26,2.737072527875533,2.348600283200004,0.6342817811452082,2.6019565713443398,1.6574887733942343,3.343093547236544
2022-05-27,2.7301528197155425,2.3667770410774054,0.6396437480791445,2.6222781159953157,1.6628507403281705,3.364487485274307
2022-05-28,2.7358819863822084,2.366329381489094,0.6455141682962897,2.624178624493862,1.666866181269778,3.3664490902509603
2022-05-29,2.7831061569765745,2.3714911878929836,0.6170164231182805,2.617941332826548,1.666866181269778,3.37161089665485
