,,,,total,total,total,fatal,fatal,fatal
vax_name,,,,astra,moderna,pfizer,astra,moderna,pfizer
name0,name1,reaction name,level,,,,,,
Cardiac disorders,Left ventricular failures,Left ventricular failure,3,10.0,1.0,7.0,1.0,0.0,2.0
Cardiac disorders,Mitral valvular disorders,Ischaemic mitral regurgitation,3,1.0,,,0.0,,
Cardiac disorders,Mitral valvular disorders,Mitral valve disease,3,1.0,,1.0,0.0,,0.0
Cardiac disorders,Mitral valvular disorders,Mitral valve incompetence,3,11.0,1.0,9.0,0.0,0.0,0.0
Cardiac disorders,Mitral valvular disorders,Mitral valve prolapse,3,6.0,1.0,2.0,0.0,0.0,0.0
Cardiac disorders,Myocardial disorders NEC,Cardiac amyloidosis,3,,,1.0,,,0.0
Cardiac disorders,Myocardial disorders NEC,Cardiac aneurysm,3,1.0,,1.0,0.0,,1.0
Cardiac disorders,Myocardial disorders NEC,Cardiac sarcoidosis,3,1.0,,,0.0,,
Cardiac disorders,Myocardial disorders NEC,Cardiac septal hypertrophy,3,1.0,,,1.0,,
Cardiac disorders,Myocardial disorders NEC,Cardiac ventricular scarring,3,1.0,,2.0,0.0,,0.0
Cardiac disorders,Myocardial disorders NEC,Cardiomegaly,3,38.0,9.0,60.0,1.0,0.0,4.0
Cardiac disorders,Myocardial disorders NEC,Diastolic dysfunction,3,3.0,,1.0,0.0,,0.0
Cardiac disorders,Myocardial disorders NEC,Dilatation ventricular,3,1.0,,1.0,0.0,,0.0
Cardiac disorders,Myocardial disorders NEC,Left atrial dilatation,3,1.0,,1.0,0.0,,0.0
Cardiac disorders,Myocardial disorders NEC,Left ventricular dilatation,3,2.0,1.0,,0.0,0.0,
Cardiac disorders,Myocardial disorders NEC,Left ventricular dysfunction,3,24.0,5.0,19.0,0.0,0.0,0.0
Cardiac disorders,Myocardial disorders NEC,Left ventricular enlargement,3,,1.0,3.0,,0.0,0.0
Cardiac disorders,Myocardial disorders NEC,Left ventricular hypertrophy,3,5.0,2.0,2.0,0.0,0.0,0.0
Cardiac disorders,Myocardial disorders NEC,Myocardial fibrosis,3,3.0,2.0,13.0,0.0,0.0,0.0
Cardiac disorders,Myocardial disorders NEC,Myocardial haemorrhage,3,,,1.0,,,0.0
Cardiac disorders,Myocardial disorders NEC,Myocardial injury,3,21.0,,29.0,0.0,,0.0
Cardiac disorders,Myocardial disorders NEC,Myocardial necrosis,3,,,1.0,,,0.0
Cardiac disorders,Myocardial disorders NEC,Myocardial oedema,3,1.0,,7.0,0.0,,0.0
Cardiac disorders,Myocardial disorders NEC,Myocardial rupture,3,2.0,,1.0,0.0,,0.0
Cardiac disorders,Myocardial disorders NEC,Right atrial dilatation,3,2.0,,,0.0,,
Cardiac disorders,Myocardial disorders NEC,Right atrial enlargement,3,,,1.0,,,0.0
Cardiac disorders,Myocardial disorders NEC,Right ventricular dilatation,3,3.0,,1.0,0.0,,0.0
Cardiac disorders,Myocardial disorders NEC,Right ventricular dysfunction,3,5.0,,2.0,0.0,,0.0
Cardiac disorders,Myocardial disorders NEC,Right ventricular enlargement,3,,,1.0,,,0.0
Cardiac disorders,Myocardial disorders NEC,Systolic dysfunction,3,1.0,,1.0,0.0,,0.0
Cardiac disorders,Myocardial disorders NEC,Ventricular dysfunction,3,,,2.0,,,0.0
Cardiac disorders,Myocardial disorders NEC,Ventricular dyskinesia,3,1.0,,,0.0,,
Cardiac disorders,Myocardial disorders NEC,Ventricular hypertrophy,3,5.0,,2.0,1.0,,0.0
Cardiac disorders,Myocardial disorders NEC,Ventricular hypokinesia,3,3.0,,4.0,0.0,,0.0
Cardiac disorders,Noninfectious myocarditis,Autoimmune myocarditis,3,1.0,,,0.0,,
Cardiac disorders,Noninfectious myocarditis,Eosinophilic myocarditis,3,,,1.0,,,0.0
Cardiac disorders,Noninfectious myocarditis,Hypersensitivity myocarditis,3,,1.0,1.0,,0.0,0.0
Cardiac disorders,Noninfectious myocarditis,Myocarditis,3,211.0,216.0,740.0,6.0,1.0,5.0
Cardiac disorders,Noninfectious myocarditis,Myocarditis post infection,3,1.0,,2.0,0.0,,0.0
Cardiac disorders,Noninfectious myocarditis,Myopericarditis,3,31.0,30.0,98.0,0.0,0.0,0.0
Cardiac disorders,Noninfectious pericarditis,Pericarditis,3,,143.0,568.0,,1.0,2.0
Cardiac disorders,Noninfectious pericarditis,Pericarditis constrictive,3,,,1.0,,,0.0
Cardiac disorders,Noninfectious pericarditis,Pericarditis lupus,3,,,1.0,,,0.0
Cardiac disorders,Noninfectious pericarditis,Pleuropericarditis,3,,1.0,1.0,,0.0,0.0
Cardiac disorders,Pericardial disorders NEC,Cardiac tamponade,3,2.0,,,2.0,,
Cardiac disorders,Pericardial disorders NEC,Pericardial disease,3,1.0,,,0.0,,
Cardiac disorders,Pericardial disorders NEC,Pericardial effusion,3,44.0,4.0,,0.0,0.0,
Cardiac disorders,Pericardial disorders NEC,Pericardial haemorrhage,3,10.0,1.0,,4.0,1.0,
Cardiac disorders,Pericardial disorders NEC,Pericardial rub,3,3.0,1.0,,0.0,0.0,
Cardiac disorders,Rate and rhythm disorders NEC,Arrhythmia,3,168.0,39.0,202.0,4.0,0.0,1.0
Cardiac disorders,Rate and rhythm disorders NEC,Arrhythmia neonatal,3,1.0,,1.0,0.0,,0.0
Cardiac disorders,Rate and rhythm disorders NEC,Bradyarrhythmia,3,1.0,,1.0,0.0,,0.0
Cardiac disorders,Rate and rhythm disorders NEC,Bradycardia,3,95.0,20.0,83.0,1.0,0.0,0.0
Cardiac disorders,Rate and rhythm disorders NEC,Bradycardia foetal,3,,,2.0,,,0.0
Cardiac disorders,Rate and rhythm disorders NEC,Cardiac fibrillation,3,9.0,1.0,1.0,0.0,0.0,0.0
Cardiac disorders,Rate and rhythm disorders NEC,Cardiac flutter,3,325.0,154.0,649.0,0.0,0.0,0.0
Cardiac disorders,Rate and rhythm disorders NEC,Extrasystoles,3,174.0,62.0,234.0,0.0,0.0,0.0
Cardiac disorders,Rate and rhythm disorders NEC,Heart alternation,3,4.0,1.0,4.0,0.0,0.0,0.0
